Sample	15	20	25	30	35	40	45	50	55	60	65	70	75	80	85	90	95	100	105	110	115	120	125	130	135	140	145	150	TOTAL
CV_GBM_C035_trim_R1	1840275	2315149	3670236	2570239	1278628	1810428	2228750	1015122	1370743	1931837	589179	439202	202635	219342	108853	86044	88483	82611	70952	131690	282757	103144	48347	43736	56306	26961	35268	454030	43,32691989
CV_GBM_C035_trim_R2	1819294	2073022	3601452	2764045	1277085	1806090	2225630	1011876	1369841	1934449	589162	438937	222898	248086	177159	109942	86583	83334	72811	132689	283061	103888	48173	43236	56378	27098	35718	459010	43,81807529
CV_GBM_C036_trim_R1	1901276	2741737	3779540	2617566	1404791	1916596	2736318	1294094	1378541	2842237	988743	819589	418493	316691	225114	173965	199476	189138	153008	276622	441802	141845	79050	76400	85599	47979	63673	502354	46,90043307
CV_GBM_C036_trim_R2	1873988	2445291	3720332	2860318	1405506	1912495	2733782	1289682	1377963	2847631	988980	821098	438571	348885	286099	197906	197622	189230	154192	277579	441601	142488	79467	76323	85748	48280	63924	507256	47,32527574
CV_GBM_C039_trim_R1	1465855	2018255	2045831	1765751	702940	735153	909869	310429	440099	451788	188638	217821	61524	67799	37299	23168	23927	28411	20823	42628	49168	13525	8523	9974	13665	7361	8677	83943	34,8354092
CV_GBM_C039_trim_R2	1454406	1782870	2016526	1964017	701320	733389	908601	310088	439613	452659	188446	216890	77492	88153	70905	34541	22716	28248	21272	42777	49124	13648	8577	9950	13769	7473	8929	86445	35,44594313
CV_GBM_C049_trim_R1	2046789	2736359	3297598	2581264	1118826	1488464	1619058	681213	943802	1265926	418408	321421	149665	244750	95207	70917	75640	79129	41267	105447	184785	70430	31111	31451	43206	26065	25909	342716	40,08177829
CV_GBM_C049_trim_R2	2026755	2493291	3243875	2772181	1118002	1486548	1616031	679159	943083	1267935	418296	319667	171251	271914	155971	91822	74058	78502	41782	105862	184727	70847	31198	31394	43354	26201	26079	347038	40,59392984
CV_GBM_C050_trim_R1	2651999	3675321	4684206	2910381	1574277	2284943	2078459	958379	1408911	1148738	487080	384920	180016	292343	115753	100336	93656	75443	77672	127600	188789	52684	29838	32582	60567	32339	26826	440215	39,11032429
CV_GBM_C050_trim_R2	2626187	3113020	4608728	3415517	1573419	2283448	2073154	954612	1411078	1150197	487639	382702	205851	331884	186881	127011	92311	73938	78549	128220	188852	52999	29843	32404	60814	32442	27077	445496	39,70377764
DC_1023_trim_R1	1445003	1654624	2259848	2156098	1143836	2268956	2084406	939287	2536845	1437664	472564	364281	88303	244623	63632	58594	67319	34089	54983	126129	126217	43243	22594	53396	39134	28234	39030	517877	45,05846479
