Sample	fastqc-percent_duplicates	fastqc-percent_gc	fastqc-avg_sequence_length	fastqc-median_sequence_length	fastqc-percent_fails	fastqc-total_sequences
GB23_22_trim_R2	98.37057619264428	57.0	52.042425793703735	47	45.45454545454545	17.278015
GB23_26_trim_R1	98.40099850952936	58.0	55.95207817258159	47	45.45454545454545	22.550413
GB23_26_trim_R2	98.10389511501968	58.0	56.26594938638153	47	45.45454545454545	22.550413
GB23_27_trim_R1	98.57392221125212	57.0	58.2778133018768	57	45.45454545454545	28.897440999999997
GB23_27_trim_R2	98.24589607545956	57.0	58.55482331463191	57	45.45454545454545	28.897440999999997
GB23_28_trim_R1	98.30062496271628	58.0	55.50192879134577	47	45.45454545454545	22.116441
GB23_28_trim_R2	97.97207366490635	58.0	55.81113740226106	52	45.45454545454545	22.116441
GB23_32_trim_R1	98.6442009870261	58.0	57.200429999520814	57	45.45454545454545	20.221883
GB23_32_trim_R2	98.29734675680345	58.0	57.48892187735435	57	45.45454545454545	20.221883
GB23_33_trim_R1	98.79632378893731	58.0	57.23890150468189	57	45.45454545454545	23.936488
GB23_33_trim_R2	98.48772564655509	58.0	57.49362057625162	57	45.45454545454545	23.936488
GB23_36_trim_R1	98.52259087947333	58.0	54.94386430723453	52	45.45454545454545	19.278198
GB23_36_trim_R2	98.18183135761757	58.0	55.316000203960975	52	45.45454545454545	19.278198
GB23_40_trim_R1	98.68378471608796	58.0	53.32397750870785	47	45.45454545454545	28.879977
GB23_40_trim_R2	98.35660388419451	58.0	53.64006460254453	47	45.45454545454545	28.879977
GB23_42_trim_R1	98.0125744920919	58.0	59.652364704374484	57	45.45454545454545	22.485982
GB23_42_trim_R2	97.69633028108508	58.0	59.837526286377	57	45.45454545454545	22.485982
GB23_47_trim_R1	98.04877169348536	58.0	56.82704099284883	57	45.45454545454545	23.793028
GB23_47_trim_R2	97.73383800463765	57.0	57.11992214694153	57	45.45454545454545	23.793028
GB23_49_trim_R1	98.84902235712434	58.0	55.157207474695056	52	45.45454545454545	28.976647
GB23_49_trim_R2	98.60824458926332	58.0	55.41851617614695	52	45.45454545454545	28.976647
GB23_50_trim_R1	98.639479955434	58.0	57.37272489616137	57	45.45454545454545	27.763513
GB23_50_trim_R2	98.40791525367483	58.0	57.59996049491287	57	45.45454545454545	27.763513
GB23_52_trim_R1	98.28058697374456	58.0	61.24366529471458	57	45.45454545454545	26.994626
GB23_52_trim_R2	97.98076931985307	58.0	61.48104178216805	57	45.45454545454545	26.994626
GB23_56_trim_R1	98.84032353699727	59.0	53.57068113540962	47	45.45454545454545	17.741509
GB23_56_trim_R2	98.57357418060796	59.0	53.85104325116877	47	45.45454545454545	17.741509
GB23_57_trim_R1	98.72164961121842	58.0	50.842222636271515	47	45.45454545454545	28.128695999999998
GB23_57_trim_R2	98.49751520569832	58.0	51.16730279640407	47	45.45454545454545	28.128695999999998
GB23_58_trim_R1	98.71847378808953	58.0	52.61391113086805	47	45.45454545454545	25.395297
GB23_58_trim_R2	98.49293728984094	58.0	52.90063985075662	47	45.45454545454545	25.395297
GB23_59_trim_R1	98.8770962606452	57.0	42.70513634875059	37	45.45454545454545	19.472528999999998
GB23_59_trim_R2	98.676856355966	57.0	43.09016995173046	42	45.45454545454545	19.472528999999998
GB24_01_trim_R1	98.62439563826389	58.0	54.09688445997875	47	45.45454545454545	11.486547999999999
GB24_01_trim_R2	98.34359114039194	58.0	54.403212087739504	47	45.45454545454545	11.486547999999999
GB24_02_trim_R1	98.3378689757069	58.0	50.900099272082976	47	45.45454545454545	33.650951
GB24_02_trim_R2	98.02694373700245	58.0	51.278026778500255	47	45.45454545454545	33.650951
GB24_04_trim_R1	98.39533497804858	58.0	55.793957957850694	47	45.45454545454545	18.814118999999998
GB24_04_trim_R2	98.08419181480346	58.0	56.11868249052746	47	45.45454545454545	18.814118999999998
GB24_05_trim_R1	98.56353774534655	58.0	54.29206966939696	47	45.45454545454545	25.159568999999998
GB24_05_trim_R2	98.26739212731344	58.0	54.567135947360626	47	45.45454545454545	25.159568999999998
GB24_14_trim_R1	97.70518838604498	58.0	58.51383925516191	52	45.45454545454545	17.329726
GB24_14_trim_R2	97.28632335911747	58.0	58.745430799078996	52	45.45454545454545	17.329726
GB24_20_trim_R1	98.5107873512736	58.0	57.88871631291213	52	45.45454545454545	33.587461
GB24_20_trim_R2	98.24066010507809	58.0	58.09316176057488	52	45.45454545454545	33.587461
GB24_21_trim_R1	98.31076085327187	58.0	55.664466220083895	47	45.45454545454545	25.179206999999998
GB24_21_trim_R2	98.0047372449411	58.0	55.976856558667635	47	45.45454545454545	25.179206999999998
GB24_29_trim_R1	98.11022636830106	58.0	59.88682199897362	57	45.45454545454545	25.945664999999998
GB24_29_trim_R2	97.78581610479232	58.0	60.18188100015937	57	45.45454545454545	25.945664999999998
GB24_32_trim_R1	97.98691104402381	58.0	59.59140081913607	52	45.45454545454545	30.894745
GB24_32_trim_R2	97.6576069369729	58.0	59.89739779370246	52	45.45454545454545	30.894745
GB24_33_trim_R1	96.97483996183479	58.0	54.37560553680072	47	45.45454545454545	13.293163999999999
GB24_33_trim_R2	96.6356422750084	57.0	54.693470832075796	47	45.45454545454545	13.293163999999999
GB24_37_trim_R1	98.075443893488	59.0	51.897344390506625	47	45.45454545454545	28.719697
GB24_37_trim_R2	97.77137889059114	58.0	52.23766112504599	47	45.45454545454545	28.719697
GB24_39_trim_R1	98.10522724959708	58.0	71.60050143232903	62	45.45454545454545	11.948371999999999
GB24_39_trim_R2	97.68528611035124	58.0	71.7725557925381	62	45.45454545454545	11.948371999999999
