Sample	1	2	3	4	5	6	7	8	9	10	12	14	16	18	20	22	24	26	28	30	32	34	36	38	40	42	44	46	48	50	52	54	56	58	60	62	64	66	68	70	72	74	76	78	80	82	84	86	88	90	92	94	96	98	100	102	104	106	108	110	112	114	116	118	120	122	124	126	128	130	132	134	136	138
CV_GBM_C009_R1_val_1 - polyg	0	0	0.00017721176776712877	0.0002198738600073635	0.0002297189582166484	0.0002297189582166484	0.00023300065761974338	0.0002461274552321233	0.00026581765165069316	0.00029043039717390547	0.00031012059359247535	0.00031996569180176026	0.00032324739120485527	0.00032981079001104523	0.00034950098642961506	0.0004479519685224644	0.0006366496842004256	0.0008155023016691019	0.0009598970754052809	0.002037935329321981	0.0027336556027781162	0.002812416388452395	0.0028731278274096526	0.00290102227233596	0.0029272758675607195	0.002971578809502502	0.003099565086223206	0.0031176144329402283	0.0031176144329402283	0.0031274595311495132	0.003163558224583558	0.0031832484210021278	0.0032127837156299827	0.0032718543048856925	0.0036033059445982852	0.0036935526781833967	0.003770672614156129	0.003875686995055168	0.004216983732977046	0.005823375590792037	0.006907977243514927	0.008325671385651958	0.010698340054089626	0.01441978717719933	0.02099139023189702	0.0293695688079985	0.03670416697391578	0.0434185239526481	0.05009021883914018	0.059170681087503986	0.06778186032122521	0.07751209905140181	0.0888831874831259	0.09910732197346832	0.10941021724948499	0.1262436943376607	0.14114917302651808	0.15344405984021342	0.16577668619704433	0.17867540570090912	0.19263247326227206	0.21189112620933492	0.23268561447704628	0.2535506592819241	0.27687861948882475	0.30039035486229876	0.3166692247513514	0.33481538160076507	0.37516223491211625	0.4054621655008922	0.4245091488364554	0.45064624373240536	0.473542660467799	0.48525012308834037
CV_GBM_C009_R2_val_2 - polyg	0.07008069075309324	0.07581053791089706	0.07708383727929792	0.07737919022557647	0.07784847324021905	0.07821602357336568	0.07904629352234872	0.07933180137041798	0.07984702817670389	0.08044429746806717	0.08084794649464785	0.08112689094391093	0.08135989160153068	0.08157648376213494	0.08171923768616958	0.08187840010721968	0.08195552004319241	0.08201787233185122	0.0820654569731961	0.0821278092618549	0.08217375305349822	0.08221641514573846	0.08225415468887406	0.08229517593141275	0.08231978867693596	0.08235752822007156	0.08244121155485047	0.08249864129440464	0.08253966253694332	0.08257247953097427	0.0826217050220207	0.08267421221247022	0.08273656450112903	0.08281040273769866	0.08311067823308185	0.08450211877999411	0.08485490146582683	0.08550303709793808	0.08725710542889235	0.09122632085693572	0.0969020199745885	0.10577409431085577	0.1109312849228195	0.11867281381472057	0.1325806558850371	0.14896289930528722	0.17127353269722842	0.20200828845691443	0.24430775291310713	0.27328023609333113	0.30011305126273724	0.3302735096268816	0.3618057183415197	0.3820570853580188	0.3993352327153139	0.4219871628451769	0.4423008821503348	0.46973096661110425	0.4930359549221832	0.5139682745648245	0.5478370532544663	0.5664426480203132	0.5776824684759134	0.5928603282152277	0.6063464719122466	0.6167084377775189	0.6382839705031669	0.6576164616867994	0.665344863781088	0.6729173851537298	0.6792084029094627	0.6818222764840279	0.683725662137823	0.6852319621638436
CV_GBM_C010_R1_val_1 - polyg	0	0	0.00016011447384307412	0.0002201574015342269	0.0002351681334570151	0.00024517528807220724	0.0002501788653798033	0.00025518244268739934	0.0002651895973025915	0.0002852039065329758	0.00029771284980196594	0.0003102217930709561	0.00032022894768614824	0.0003302361023013404	0.0003502504115317246	0.0005453899265279712	0.0010332387140185877	0.0015561125426623765	0.0018513236038105443	0.003907793877232528	0.005473913574510096	0.005619017316430382	0.005699074553351919	0.005751612115081677	0.005781633578927254	0.005854185449887397	0.006054328542191239	0.0061043643152672005	0.006121876835843787	0.006151898299689363	0.006204435861419121	0.006236959113918496	0.006299503830263446	0.006379561067184984	0.006784850829100265	0.006919947416405359	0.0070625493696718465	0.007317731812359247	0.008168339954650577	0.012223739362457188	0.013932461013001246	0.015881354374309913	0.018983572305019472	0.02366692066492939	0.030606882390565138	0.038017180383114905	0.04437422535241571	0.05034849665768541	0.05587995137123286	0.06374557489877387	0.07116087646863126	0.07891892308405896	0.0876351547538913	0.09583101438373365	0.10433959759530076	0.11831709080407037	0.13108622009305554	0.14135856430555024	0.15314699244224658	0.16632141149314703	0.17985358632154058	0.19876460675559993	0.2215609049690076	0.2499186793598083	0.2764301337241061	0.2981181395638812	0.31600592843853714	0.3388297463271366	0.3787157628346386	0.40791163642446165	0.42448098267856604	0.4427940756243677	0.46118222222978317	0.4702161810586479
CV_GBM_C010_R2_val_2 - polyg	0.07205651680669094	0.08067768050767897	0.08225380735957173	0.08252400053418191	0.0830393689968643	0.0835547374595467	0.08435030625145448	0.08464551731260264	0.08517589650720783	0.08598647603103839	0.08662443213775689	0.08702972189967217	0.08729240970832097	0.08755509751696976	0.08773772808869701	0.08790534792850148	0.08799291053138442	0.08807546955695975	0.08814301785061229	0.08823058045349522	0.08827561264926359	0.08833065199964715	0.0883931967159921	0.08843572712310666	0.08846074500964465	0.08848326110752883	0.08851078078272061	0.08854580582387378	0.08859083801964214	0.08861335411752633	0.08865588452464089	0.08872593460694723	0.08878847932329219	0.08887604192617513	0.08936389071366574	0.0928363733651374	0.09347683126050971	0.09455760395895045	0.09685424594313705	0.10185281967342552	0.10718413129466912	0.11475704554971577	0.11949793504866305	0.12688821873198242	0.14027028624114812	0.15611411378565104	0.17886537980329037	0.20788612818734753	0.24441974789876023	0.26868459605194733	0.29286688517955917	0.31764710179542865	0.3431053031364774	0.36063533623364025	0.3769920304521718	0.39656352309083376	0.4140235061056903	0.43978692566250244	0.4633437676266647	0.4873559351258182	0.5156061326045056	0.52977125996231	0.538875268873481	0.5519120895484226	0.56433347021453	0.5732173217241667	0.5867244786660223	0.5989682323377099	0.6045247049377953	0.6098184897292319	0.6144217808522203	0.6166233548675626	0.6182570228584927	0.619392834907317
CV_GBM_C011_R1_val_1 - polyg	0	0	0.00013014689861205926	0.00017352919814941234	0.00019522034791808886	0.00022052668931487818	0.00022052668931487818	0.0002241418809429909	0.00022775707257110368	0.0002874077344349642	0.00030729128838958436	0.0003289824381582609	0.00035248118374099375	0.00035428877955505014	0.00036513435443938846	0.000549509127473139	0.0010212916349418538	0.0015454944210182035	0.001925089541970043	0.004081551348139303	0.005659582493810521	0.005836726883588045	0.00593975984498926	0.006008448485923402	0.006111481447324615	0.006275972666403746	0.006512767718045131	0.0065380740594419215	0.0065688031882808785	0.0065886867422354995	0.00660314750874795	0.006632069041772852	0.00666279817061181	0.006707988065963221	0.0069538210966748875	0.0070442008873777065	0.007165309806919484	0.007349684579953235	0.007808813916723554	0.009985159276847434	0.011071524361095318	0.012194041361624329	0.01366542435426622	0.015798387414852746	0.019668450052747453	0.025152695752594503	0.030747204797098995	0.03665442791743524	0.04277856253545825	0.05077175122521556	0.05906319322429217	0.06816443814806603	0.07875875721425046	0.08781300464685887	0.09719804211343958	0.11430512889766914	0.12940939951992425	0.1425018160011346	0.15465970544647778	0.1673273369113849	0.18122232593403625	0.19984417801044507	0.221580517674473	0.2458908737777173	0.2697294473734928	0.2908512044607416	0.307504584695643	0.32517202618223	0.36342798399091925	0.39993780424322994	0.41913085659688054	0.44232592608285204	0.46526431696322745	0.47744751274996744
CV_GBM_C011_R2_val_2 - polyg	0.11065378535327526	0.11857828540209843	0.12015812414358369	0.1204690306236014	0.12104746128409943	0.12151020581249787	0.12242846448603852	0.12273214058279998	0.12335756873446349	0.12402095639822218	0.12463915416662946	0.12511635946154034	0.12535676970480986	0.12566948378064158	0.12577793952948496	0.12598219785647335	0.12607800043461834	0.12614849667136652	0.126195494162532	0.12626599039928021	0.12631298789044565	0.12635998538161114	0.12640517527696254	0.12643228921417338	0.12645940315138424	0.12648290189696698	0.1265280917923184	0.1265606285169714	0.12658051207092602	0.12660039562488062	0.12664016273278988	0.1266835450323272	0.12674138809837704	0.12682996029326576	0.12719509464770518	0.12932444251666358	0.12970765282924354	0.130268007531601	0.1314176384693409	0.13375485985691576	0.13699226395989075	0.1420589550266908	0.14589828853574652	0.1526496589012471	0.16442433803401035	0.17791261799849906	0.19900906874435104	0.22649898588452044	0.26234361087725844	0.28835491464152974	0.3135672610559881	0.3418579431417844	0.371339830869044	0.391058893604585	0.4081442892390459	0.42908528674488905	0.44819880488272124	0.47431675680002183	0.4962410864287116	0.5173899574531713	0.5459318953571215	0.5595720133699909	0.5681924378072257	0.5804117855102469	0.59186109739648	0.601450393190049	0.6209868887483705	0.6386796365763543	0.6460293211563075	0.653579648871621	0.6598538139422107	0.6623826404860755	0.6640727425722183	0.6653073305132188
CV_GBM_C016_R1_val_1 - polyg	0	0	0.00020380607851629176	0.00024134930350613496	0.00025743925707321063	0.00025743925707321063	0.00025743925707321063	0.0002681658927845944	0.00029498248206305387	0.00032448073026935924	0.00034057068383643485	0.0003486156606199727	0.0003566606374035106	0.0003647056141870484	0.00038079556775412406	0.0005068335373628835	0.0007481828408690183	0.0010243937104371507	0.0012630613550154396	0.0023223166315145876	0.0029766414099089977	0.0031455859223632923	0.0032099457366315948	0.003306485458034049	0.003504928218694649	0.003958128577500613	0.004448872161296422	0.004497142021997648	0.004510550316636878	0.004537366905915337	0.004609771696967178	0.004754581279070859	0.004848439341545467	0.004953024039731459	0.005127331870041446	0.005207781637876823	0.005352591219980505	0.005497400802084185	0.005942556184106612	0.008122744892445365	0.009629837209894784	0.011595493204005863	0.014421961713955487	0.018712615998509	0.02461226563977007	0.03250438786442069	0.04082557551752665	0.0478327502959881	0.05309416511242185	0.060181789658718676	0.06751344516744949	0.07526343946892428	0.08432476498611571	0.0926942224999229	0.09998297146580817	0.11135052366094714	0.12327317925415021	0.13667074725766853	0.14833328193487055	0.15708353501643185	0.1674106035475666	0.18567538250512533	0.20519517784091595	0.22556505905683374	0.2464471371279701	0.26341399316445135	0.2781684805854598	0.2933815316831298	0.32047165017222956	0.3683741236003416	0.39807885954409117	0.42105531323787526	0.4428652452980463	0.45644784776758596
CV_GBM_C016_R2_val_2 - polyg	0.09774646791998466	0.1048528640787764	0.10635995639622584	0.10665493887828889	0.10720736061742515	0.10766324263515896	0.10854819008134813	0.10881099265627703	0.10965303355962065	0.11059161418436673	0.1112083957377713	0.11164550614301019	0.11190562705901125	0.11208261654824908	0.11217647461072369	0.1122703326731983	0.11235078244103366	0.11242050557315766	0.11247145709278675	0.11250095534099305	0.11253849856598289	0.11258408676775628	0.1126269933106018	0.1126618548766638	0.11268062648915872	0.11269403478379796	0.11270744307843719	0.11272889634985994	0.11275571293913841	0.11277716621056118	0.11279593782305611	0.11282275441233455	0.11287370593196364	0.11296488233551039	0.11347707919072897	0.11629013940603936	0.11687205939338194	0.11781868499491155	0.12007396015322999	0.12476149995910471	0.13059678978609746	0.1406020592458907	0.14668138003531744	0.15295109860862127	0.16368846095571643	0.17731665162702953	0.1971904259412958	0.2237013061019808	0.2613062092471645	0.28198448123978453	0.3044567830551336	0.3310749295729324	0.3578834738746083	0.37635205891068335	0.3941368209201576	0.41462737678782846	0.43709163362639397	0.46698676735402056	0.48967628354252507	0.5071767897056476	0.5301237451512255	0.5436983026439817	0.553108243821793	0.5667257078573947	0.5773933470723659	0.5877633221463462	0.6108765404454504	0.6295542948778974	0.6355933907834064	0.6421849084280518	0.6480041083014775	0.6499590376598772	0.651197964084542	0.6521419080271438
CV_GBM_C018_R1_val_1 - polya	0.05052325673294584	0.052556135350054024	0.05455997284406066	0.0559332030935766	0.05693304747464409	0.05905719819292856	0.060181504530145535	0.062235126806611966	0.06283669292800112	0.06440906230735623	0.07183944108948023	0.07333505892920981	0.07472488410621235	0.08357620355437624	0.09235284582885045	0.09317429473943703	0.09500388549483439	0.09552247697879057	0.09610744817269312	0.09640200813558022	0.09670071683033898	0.09748690152001653	0.09812580622825054	0.09921277397862266	0.10086189489760328	0.10150079960583729	0.1021500761437504	0.10253798257374963	0.10291759154000554	0.1031831103797911	0.10359798356695604	0.10527821997497402	0.10811180384331052	0.10890213726485973	0.10972773490731795	0.10992272530528548	0.11007000528672903	0.11028366497811896	0.11063215845533751	0.11085411561047076	0.11138930202191352	0.11171705183977382	0.11221904839624339	0.11256961623939776	0.11290151478912971	0.11309028208928976	0.11331846234223047	0.11357153498640107	0.11381838453276422	0.11399678000324515	0.11416480364404694	0.1144137275563459	0.11473940300827037	0.11507545028987397	0.11533889476372369	0.11579732963554096	0.11626613633703733	0.11664367093735742	0.1169776438530252	0.11719752664222262	0.11733236042805122	0.1174402274567141	0.11769744883275637	0.1179111085241463	0.11812476821553625	0.11853341830489371	0.11880516024248675	0.11901052247013338	0.11913291006034704	0.11924077708900993	0.11945236241446404	0.11957889873654934	0.11974899674328697	0.1199792513621635
